event_name,date_location,attendees,goals,source_url,primary_industry,secondary_industry,event_type,featured,company_stages
"International Conference on Science, Technology, Engineering & Management (ICSTEM)","25 Jan - Pasig, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1209769,Technology,,Conference,False,Planning Transformation
"International Conference on Medicine, Nursing and Healthcare (ICMNH)","25 Jan - Pasig, Philippines","Healthcare professionals, Medical practitioners, Researchers","Medical advancement, Patient care improvement, Research collaboration",https://www.conferencealert.com/eventdetail/1209770,Healthcare,,Conference,False,Planning Transformation
International Conference on Employment Law and Sustainable Development (ICELSD),"09 Dec - Quezon City, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1517275,Technology,,Conference,False,Planning Transformation
International Conference on Epidemiology and Public Health (ICEPH),"09 Dec - Quezon City, Philippines","Healthcare professionals, Medical practitioners, Researchers","Medical advancement, Patient care improvement, Research collaboration",https://www.conferencealert.com/eventdetail/1521613,Healthcare,,Conference,False,Planning Transformation
International Conference on Gynecology Obstetrics and Womens Health (ICGOWH),"09 Dec - Quezon City, Philippines","Healthcare professionals, Medical practitioners, Researchers","Medical advancement, Patient care improvement, Research collaboration",https://www.conferencealert.com/eventdetail/1539869,Healthcare,,Conference,False,Planning Transformation
World Congress on Information Technology and Computer Science (WCITSC),"13 Dec - Quezon City, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1219917,Technology,,Congress,False,Planning Transformation
International Conference on Education and New Learning Technologies (EDULEARN),"13 Dec - Quezon City, Philippines","Educators, Academic professionals, Training managers","Educational advancement, Teaching methodologies, Learning innovation",https://www.conferencealert.com/eventdetail/1219918,Education,,Conference,False,Exploring Solutions
"International Conference on Mechanical, Materials and Renewable Energy (ICMMRE)","13 Dec - Quezon City, Philippines","Manufacturing executives, Industrial professionals, Engineers","Production optimization, Quality improvement, Innovation",https://www.conferencealert.com/eventdetail/1219919,Manufacturing,,Conference,False,Planning Transformation
International Conference on Business Analytics and Operations Research (ICBAOR),"13 Dec - Quezon City, Philippines","Retail managers, E-commerce professionals, Marketing executives","Market insights, Digital transformation, Customer engagement",https://www.conferencealert.com/eventdetail/1219920,Retail & E-commerce,,Conference,False,Exploring Solutions
Annual Congress on Soil and Water Conservation (ACSWC),"13 Dec - Quezon City, Philippines","Utility professionals, Energy managers, Infrastructure executives","Energy efficiency, Infrastructure development, Sustainability",https://www.conferencealert.com/eventdetail/1219921,Utilities,,Congress,False,Planning Transformation
International Conference on Mental Health and Human Resilience (ICMHHR),"26 Dec - Quezon City, Philippines","Healthcare professionals, Medical practitioners, Researchers","Medical advancement, Patient care improvement, Research collaboration",https://www.conferencealert.com/eventdetail/1540386,Healthcare,,Conference,False,Planning Transformation
International Conference on Animal Production for Food Sustainability (ICAPFS),"27 Dec - Quezon City, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1532748,Technology,,Conference,False,Planning Transformation
International Conference on Lifelong Learning and Adult Education (ICLLAE),"29 Dec - Quezon City, Philippines","Educators, Academic professionals, Training managers","Educational advancement, Teaching methodologies, Learning innovation",https://www.conferencealert.com/eventdetail/1528215,Education,,Conference,False,Exploring Solutions
World Congress on Information Technology and Computer Science (WCITSC),"13 Jan - Quezon City, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1220487,Technology,,Congress,False,Planning Transformation
International Conference on Education and New Learning Technologies (EDULEARN),"13 Jan - Quezon City, Philippines","Educators, Academic professionals, Training managers","Educational advancement, Teaching methodologies, Learning innovation",https://www.conferencealert.com/eventdetail/1220488,Education,,Conference,False,Exploring Solutions
"International Conference on Mechanical, Materials and Renewable Energy (ICMMRE)","13 Jan - Quezon City, Philippines","Manufacturing executives, Industrial professionals, Engineers","Production optimization, Quality improvement, Innovation",https://www.conferencealert.com/eventdetail/1220489,Manufacturing,,Conference,False,Planning Transformation
International Conference on Business Analytics and Operations Research (ICBAOR),"13 Jan - Quezon City, Philippines","Retail managers, E-commerce professionals, Marketing executives","Market insights, Digital transformation, Customer engagement",https://www.conferencealert.com/eventdetail/1220490,Retail & E-commerce,,Conference,False,Exploring Solutions
Annual Congress on Soil and Water Conservation (ACSWC),"13 Jan - Quezon City, Philippines","Utility professionals, Energy managers, Infrastructure executives","Energy efficiency, Infrastructure development, Sustainability",https://www.conferencealert.com/eventdetail/1220491,Utilities,,Congress,False,Planning Transformation
International Conference on Big Data and Artificial Intelligence (ICBDAI),"17 Aug - Tagaytay, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1381434,Technology,,Conference,False,Planning Transformation
International Conference on Blockchain and Cryptocurrency (ICBC),"17 Aug - Tagaytay, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1382302,Technology,,Conference,False,Planning Transformation
International Conference on Artificial Intelligence and Robotics (ICAIR),"18 Aug - Tagaytay, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1380562,Technology,,Conference,False,Planning Transformation
International Conference on Mental Health and Treatment (ICMHT),"18 Aug - Tagaytay, Philippines","Healthcare professionals, Medical practitioners, Researchers","Medical advancement, Patient care improvement, Research collaboration",https://www.conferencealert.com/eventdetail/1385896,Healthcare,,Conference,False,Planning Transformation
Global Conference on Sustainable Livestock Transformation (GCSLT),"18 Aug - Tagaytay, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1394282,Technology,,Conference,False,Planning Transformation
"International Conference on Science, Technology, Engineering & Management (ICSTEM)","24 Aug - Tagaytay, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1209481,Technology,,Conference,False,Planning Transformation
"International Conference on Medicine, Nursing and Healthcare (ICMNH)","24 Aug - Tagaytay, Philippines","Healthcare professionals, Medical practitioners, Researchers","Medical advancement, Patient care improvement, Research collaboration",https://www.conferencealert.com/eventdetail/1209482,Healthcare,,Conference,False,Planning Transformation
